source,label,target
0,emesis,1
0,Bleeding,1
0,body temperature increased,1
0,emesis,3
0,body temperature increased,3
0,emesis,9
0,emesis,16
0,Bleeding,16
0,emesis,21
0,Mumps,21
0,body temperature increased,21
0,emesis,22
0,body temperature increased,22
0,emesis,52
0,Mumps,52
0,emesis,55
0,Bleeding,55
0,body temperature increased,55
0,emesis,92
0,Bleeding,92
0,emesis,115
0,body temperature increased,115
0,emesis,139
0,Bleeding,139
0,emesis,141
0,Bleeding,141
0,emesis,152
0,body temperature increased,152
0,emesis,153
0,Bleeding,153
0,emesis,155
0,Mumps,155
0,emesis,167
0,emesis,171
0,emesis,172
0,emesis,194
0,emesis,213
0,emesis,272
0,emesis,274
0,Mumps,274
0,emesis,277
0,Mumps,277
0,body temperature increased,277
0,emesis,286
0,body temperature increased,286
0,emesis,287
0,Bleeding,287
0,emesis,288
0,emesis,297
0,emesis,310
0,Bleeding,310
0,emesis,312
0,body temperature increased,312
0,emesis,315
0,Bleeding,315
0,body temperature increased,315
0,emesis,328
0,body temperature increased,328
0,emesis,329
0,body temperature increased,329
0,emesis,338
0,Mumps,338
0,Bleeding,338
0,body temperature increased,338
0,emesis,369
0,Bleeding,369
0,body temperature increased,369
0,emesis,375
0,Bleeding,375
0,emesis,381
0,emesis,399
0,Mumps,399
0,emesis,400
0,body temperature increased,400
0,emesis,409
0,emesis,414
0,body temperature increased,414
0,emesis,427
0,Bleeding,427
0,emesis,439
0,body temperature increased,439
0,emesis,471
0,Bleeding,471
0,body temperature increased,471
0,emesis,484
0,Bleeding,484
0,emesis,494
0,emesis,495
0,Mumps,495
0,body temperature increased,495
0,emesis,498
0,emesis,500
0,Mumps,500
0,Bleeding,500
0,body temperature increased,500
0,emesis,507
0,body temperature increased,507
0,emesis,526
0,emesis,530
0,emesis,531
0,emesis,532
0,Bleeding,532
0,emesis,553
0,body temperature increased,553
0,emesis,554
0,Bleeding,554
0,body temperature increased,554
0,emesis,602
0,body temperature increased,602
0,emesis,604
0,body temperature increased,604
0,emesis,606
0,body temperature increased,606
0,emesis,5
0,Mumps,5
0,emesis,6
0,Bleeding,6
0,body temperature increased,6
0,emesis,37
0,Bleeding,37
0,body temperature increased,37
0,emesis,38
0,Bleeding,38
0,emesis,44
